final monument	description	program	specific rules
101621-1	LH/RH DOGHOUSE	BFE	NULL
Run	NULL	NULL	NULL
101623-1	RH DOGHOUSE L54	BFE	NULL
101625-1	CENTER LOW PARTITION	BFE	NULL
101626-101	AFT LH CLOSET/DOGHOUSE	BFE	NULL
101626-102	AFT RH CLOSET/DOGHOUSE	BFE	NULL
101702-301	FINAL ASSEMBLY	BFE	NULL
101702-302	FINAL ASSEMBLY	BFE	NULL
101702-501	MID CABIN CLASS DIVIDER L/H	BFE	NULL
101702-502	MID CABIN CLASS DIVIDER R/H	BFE	NULL
501332-1	VCC, LH FWD EXIT 2	BFE	NULL
601035-201	FWD LH STOWAGE C1	BFE	NULL
601036-201	FWD RH STOWAGE C2	BFE	NULL
601043-1	GALLEY F2	BFE	NULL
601043-101	GALLEY F2	BFE	NULL
601046-1	L/H STOWAGE	BFE	NULL
601046-101	STOWAGE C	BFE	NULL
601046-201	STOWAGE C	BFE	NULL
601049-201	L/H STOWAGE	BFE	NULL
601049-301	STOWAGE S2, LH	BFE	NULL
601049-401	STOWAGE S2, LH	BFE	NULL
601050-301	R/H STOWAGE	BFE	NULL
601050-401	R/H STOWAGE	BFE	NULL
601050-501	STOWAGE S1, RH	BFE	NULL
601079-201	FCRC	BFE	NULL
601094-1	GALLEY G2	BFE	NULL
601094-201	GALLEY G2	BFE	NULL
601095-201	GALLEY G5	BFE	NULL
601095-301	GALLEY G5	BFE	NULL
601095-401	GALLEY G5	BFE	NULL
601096-1	L/H FWD CLOSET	BFE	NULL
601096-201	STOWAGE C	BFE	NULL
601096-301	STOWAGE C,FWD LH	BFE	NULL
601105-301	L/H FWD STOWAGE	BFE	NULL
601105-302	R/H FWD STOWAGE	BFE	NULL
601105-401	STOWAGE S1	BFE	NULL
601105-402	STOWAGE S2	BFE	NULL
601116-301	LDMCR	BFE	DELTA LDMCR
601117-101	STAIRHOUSE	BFE	DELTA LDMCR
601117-201	STAIRHOUSE	BFE	NULL
601121-101	DCR	BFE	NULL
601121-301	DCR FINAL ASSEMBLY	BFE	NULL
601142-1	GALLEY 1	BFE	NULL
601142-101	GALLEY 1	BFE	NULL
601142-201	GALLEY G1	BFE	NULL
601143-101	GALLEY 4	BFE	NULL
601143-201	GALLEY G4	BFE	NULL
601163-201	GALLEY 1	BFE	NULL
601164-101	GALLEY G5	BFE	NULL
601166-1	EQUIPED GALLEY	BFE	NULL
601174-101	GALLEY G1	BFE	NULL
601175-1	GALLEY 5	BFE	NULL
601176-101	GALLEY S2	BFE	NULL
601177-1	STOWAGE S1	BFE	NULL
601178-1	STOWAGE C	BFE	NULL
601178-101	STOWAGE C	BFE	NULL
601178-201	STOWAGE C	BFE	NULL
601179-101	GALLEY F2	BFE	NULL
601182-101	GALLEY F1	BFE	NULL
601182-201	GALLEY F1	BFE	NULL
601183-1	GALLEY A1	BFE	NULL
601183-101	GALLEY A1	BFE	NULL
601183-201	GALLEY A1	BFE	NULL
601184-101	GALLEY A2	BFE	NULL
601184-201	GALLEY A2	BFE	NULL
601184-301	GALLEY A2	BFE	NULL
601186-1	STOWAGE S1	BFE	NULL
601187-1	CLOSET C1 R/H	BFE	NULL
601187-2	CLOSET C1 L/H	BFE	NULL
601192-1	GALLEY 1	BFE	NULL
601193-1	GALLEY 4	BFE	NULL
601196-1	PARTITION	BFE	NULL
601196-2	STRUCTURE ASSEMBLY	BFE	NULL
601200-1	CURTAIN HEADER	BFE	NULL
601201-1	GALLEY 1	BFE	NULL
601201-101	GALLEY 1	BFE	NULL
601202-1	GALLEY 5	BFE	NULL
601202-101	GALLEY 5	BFE	NULL
601203-1	GALLEY 1	BFE	NULL
601203-101	GALLEY 1	BFE	NULL
601203-201	GALLEY G1	BFE	NULL
601203-301	GALLEY G1	BFE	NULL
601204-1	GALLEY 5	BFE	NULL
601204-101	GALLEY 5	BFE	NULL
601204-201	GALLEY G5	BFE	NULL
601204-401	GALLEY G5	BFE	NULL
601205-1	GALLEY G1	BFE	NULL
601205-101	GALLEY G1	BFE	NULL
601205-201	GALLEY G1	BFE	NULL
601206-1	GALLEY G5	BFE	NULL
601206-101	GALLEY G5	BFE	NULL
601207-201	CURTAIN HEADER	BFE	NULL
601207-202	CURTAIN HEADER	BFE	NULL
601224-101	U/D CREW GALLEY	BFE	NULL
601224-201	U/D CREW GALLEY	BFE	NULL
601224-301	U/D CREW GALLEY	BFE	NULL
601224-401	U/D CREW GALLEY	BFE	NULL
601230-1	GALLEY 1	BFE	NULL
601230-301	GALLEY 1	BFE	NULL
601230-501	GALLEY 1	BFE	NULL
601230-601	GALLEY G1	BFE	NULL
601231-1	GALLEY 5	BFE	NULL
601231-301	GALLEY 5	BFE	NULL
601231-601	GALLEY G5	BFE	NULL
601232-1	GALLEY 1	BFE	NULL
601232-401	GALLEY 1	BFE	NULL
601232-501	GALLEY 1	BFE	NULL
